Faculty,YearLevel,ExerciseGroup,StudyHours,SleepHours,StressScore,ExamScore
Arts,1st Year,Low,11.67,5.5,21.7,74.3
Business,4th Year,Low,8.05,8.08,24.2,52.0
Science,4th Year,Low,9.76,7.34,37.4,51.9
Business,2nd Year,Low,7.54,7.64,10.3,63.3
Science,1st Year,Low,26.73,7.15,36.6,78.8
Engineering,2nd Year,Moderate,12.36,5.98,26.0,65.3
Science,1st Year,Low,9.21,6.03,21.4,59.1
Arts,2nd Year,Moderate,13.27,7.44,31.9,48.4
Business,3rd Year,High,11.65,6.4,28.8,66.8
Business,4th Year,Low,11.15,7.14,29.0,46.7
Business,1st Year,High,15.57,7.28,11.3,67.4
Science,1st Year,Low,16.49,6.16,33.3,54.5
Engineering,4th Year,Low,9.85,7.14,35.6,50.7
Engineering,1st Year,Moderate,9.68,7.4,36.8,52.9
Engineering,1st Year,Moderate,10.91,6.68,20.3,59.2
Engineering,2nd Year,High,4.85,8.54,16.5,53.8
Arts,1st Year,Moderate,6.65,6.03,18.9,63.6
Engineering,3rd Year,High,21.05,8.05,46.4,64.5
Science,3rd Year,Low,23.52,7.03,36.3,65.6
Science,4th Year,Low,11.03,6.22,34.5,59.6
Science,1st Year,High,15.34,7.79,26.3,68.8
Business,4th Year,High,13.8,6.37,34.8,47.5
Business,3rd Year,High,41.74,8.33,45.0,90.8
Science,1st Year,Moderate,19.06,6.83,29.2,69.0
Engineering,1st Year,Moderate,11.57,6.53,32.4,52.1
Business,4th Year,High,8.31,8.44,13.9,65.4
Science,3rd Year,Moderate,6.41,6.37,24.7,49.2
Business,1st Year,High,13.22,6.23,17.6,61.5
Science,4th Year,High,9.0,6.1,40.4,47.5
Engineering,3rd Year,Moderate,6.9,7.55,10.4,55.3
Science,4th Year,High,9.41,6.35,26.0,45.8
Engineering,2nd Year,High,7.9,9.0,19.1,43.7
Engineering,1st Year,Low,23.92,4.63,53.2,73.9
Science,2nd Year,High,17.33,9.0,22.1,58.2
Science,3rd Year,Moderate,12.14,7.19,21.9,51.1
Engineering,2nd Year,High,22.02,7.41,48.6,46.8
Arts,2nd Year,Moderate,12.57,6.51,12.2,56.9
Arts,3rd Year,High,8.63,7.86,1.6,50.6
Engineering,4th Year,Moderate,22.4,6.97,45.8,74.6
Science,2nd Year,Low,15.11,7.49,21.1,68.9
Business,4th Year,High,8.05,7.6,16.3,50.0
Science,2nd Year,Low,11.29,6.64,29.9,70.3
Engineering,4th Year,Moderate,8.58,6.67,32.7,57.4
Arts,3rd Year,High,7.01,7.45,14.4,51.8
Business,2nd Year,High,17.65,7.78,15.3,49.1
Science,3rd Year,Moderate,26.15,5.46,51.1,82.1
Business,2nd Year,Moderate,6.96,5.79,27.1,40.5
Business,3rd Year,Moderate,15.26,7.67,25.9,49.0
Arts,3rd Year,Low,9.39,6.65,38.3,56.9
Arts,2nd Year,Moderate,10.03,6.83,12.0,75.5
Engineering,2nd Year,Moderate,9.61,7.02,11.4,67.8
Business,2nd Year,High,8.62,7.81,11.8,60.8
Science,1st Year,High,12.42,7.01,20.8,62.8
Arts,4th Year,High,8.74,6.8,28.4,57.9
Engineering,1st Year,Low,13.57,6.68,23.3,64.6
Arts,1st Year,Moderate,11.94,6.12,24.2,59.0
Engineering,3rd Year,Low,11.07,6.87,18.4,58.5
Business,2nd Year,Moderate,8.47,5.47,35.8,49.0
Business,4th Year,Moderate,9.67,7.93,24.3,49.0
Business,3rd Year,High,16.48,7.93,36.0,57.0
Science,1st Year,Moderate,14.89,7.23,25.4,48.4
Science,2nd Year,Low,8.24,7.38,22.9,52.3
Science,3rd Year,Low,12.68,8.0,29.0,49.6
Arts,2nd Year,High,16.45,8.41,25.2,54.5
Business,3rd Year,Moderate,6.25,5.34,30.7,49.5
Business,2nd Year,Low,15.14,5.35,41.2,65.5
Engineering,1st Year,Low,9.35,5.94,25.2,60.1
Science,4th Year,Moderate,15.31,7.02,39.4,45.6
Business,1st Year,Low,8.98,6.97,16.5,48.9
Engineering,4th Year,High,5.92,6.85,39.3,51.9
Science,2nd Year,Moderate,6.35,7.17,12.8,46.9
Science,3rd Year,Low,12.42,5.82,45.1,49.8
Science,1st Year,Low,13.52,5.95,25.0,62.6
Science,4th Year,High,8.48,6.23,18.5,47.9
Engineering,1st Year,Moderate,15.73,6.17,29.7,60.7
Engineering,4th Year,Moderate,6.27,5.78,25.8,40.4
Arts,1st Year,High,11.86,6.62,26.5,52.1
Engineering,4th Year,High,7.51,8.45,19.2,55.5
Engineering,4th Year,High,9.39,6.65,27.9,41.7
Science,2nd Year,High,12.42,9.0,3.1,67.1
Engineering,4th Year,Moderate,8.64,7.44,24.8,52.8
Business,2nd Year,Low,10.45,6.67,3.0,65.5
Engineering,4th Year,High,18.22,6.73,26.5,65.5
Engineering,3rd Year,Moderate,9.67,7.63,30.9,61.9
Business,3rd Year,Moderate,17.02,6.48,38.2,59.9
Science,3rd Year,High,7.75,7.61,24.6,48.9
Science,4th Year,Low,15.06,8.5,21.3,62.5
Business,2nd Year,Moderate,21.69,6.91,31.4,70.4
Engineering,2nd Year,Low,4.53,7.53,17.4,50.5
Engineering,4th Year,Moderate,8.86,6.37,22.6,54.1
Science,3rd Year,Low,15.35,6.47,43.4,50.5
Business,3rd Year,Low,11.23,8.09,28.8,50.2
Business,2nd Year,Low,14.13,5.94,26.1,49.3
Science,3rd Year,Moderate,9.57,8.63,19.9,67.7
Science,1st Year,Moderate,12.61,7.64,21.1,50.1
Business,2nd Year,Moderate,11.45,6.49,7.5,56.6
Engineering,3rd Year,High,19.44,8.07,30.3,59.2
Business,2nd Year,Moderate,13.49,7.88,16.1,67.6
Business,1st Year,Low,13.94,7.06,13.4,60.7
Arts,2nd Year,High,10.33,6.09,20.8,64.9
Business,2nd Year,Low,10.02,5.85,38.9,45.7
Engineering,2nd Year,High,10.25,7.28,28.5,55.7
Engineering,2nd Year,Low,14.26,6.43,25.0,53.8
Science,1st Year,High,10.29,8.06,20.7,71.2
Business,4th Year,Low,13.68,6.66,43.5,45.0
Business,2nd Year,High,27.94,6.3,46.7,71.7
Science,2nd Year,Moderate,17.26,7.34,28.0,66.8
Science,3rd Year,High,10.69,8.05,17.3,60.5
Arts,2nd Year,Low,19.7,7.0,34.3,62.0
Business,3rd Year,Moderate,10.35,7.97,24.5,54.1
Science,4th Year,High,5.39,8.25,28.3,48.3
Science,1st Year,Moderate,8.14,7.41,21.2,52.4
Engineering,1st Year,Moderate,5.76,6.94,25.8,55.9
Science,4th Year,Moderate,10.58,5.51,29.7,69.3
Science,1st Year,Moderate,12.27,7.39,30.4,51.7
Business,4th Year,Moderate,23.82,7.19,41.5,56.6
Engineering,4th Year,Moderate,13.88,7.24,50.4,50.9
Science,4th Year,High,11.16,6.35,26.5,73.5
Arts,1st Year,Low,16.98,5.53,41.6,52.3
Engineering,3rd Year,Low,5.03,7.45,22.8,60.7
Science,4th Year,High,13.39,7.46,25.4,70.2
Arts,2nd Year,High,16.58,8.11,18.7,60.4
Business,1st Year,Moderate,6.74,7.03,12.4,58.3
Arts,4th Year,Moderate,19.25,7.03,38.6,72.9
Arts,4th Year,Low,13.95,7.34,33.7,54.0
Business,2nd Year,Low,10.32,6.04,19.6,55.1
Science,3rd Year,Moderate,15.69,7.09,29.7,55.9
Engineering,3rd Year,Moderate,30.21,6.58,63.6,60.1
Business,3rd Year,Moderate,13.1,6.61,41.8,48.6
Science,4th Year,Low,13.45,6.22,37.9,46.2
Science,4th Year,High,10.14,7.7,27.3,54.2
Arts,4th Year,High,8.67,7.07,26.6,47.0
Arts,1st Year,Moderate,16.98,8.13,24.8,64.6
Science,2nd Year,Moderate,8.65,6.19,15.0,45.0
Business,4th Year,Moderate,12.54,6.83,28.7,58.7
Science,2nd Year,High,10.06,7.1,8.4,65.4
Arts,2nd Year,Moderate,14.76,8.3,23.6,46.7
Science,3rd Year,Low,13.92,6.68,34.7,58.9
Arts,1st Year,High,18.45,8.43,16.5,75.8
Business,4th Year,High,9.93,6.16,43.0,40.5
Engineering,3rd Year,High,10.94,7.74,15.8,70.1
Science,3rd Year,Moderate,8.24,7.8,9.3,60.0
Business,4th Year,Moderate,10.2,7.07,29.8,48.4
Science,2nd Year,Moderate,14.17,7.96,31.3,57.2
Engineering,3rd Year,High,16.49,7.03,46.2,59.8
Engineering,2nd Year,High,8.42,8.77,13.6,56.6
Science,1st Year,Low,17.25,8.5,29.7,65.6
Arts,2nd Year,Low,20.95,6.17,32.0,59.1
Engineering,1st Year,Moderate,14.37,6.6,24.8,61.0
Arts,2nd Year,High,25.81,8.81,35.9,60.3
Business,3rd Year,High,8.94,8.92,22.5,53.2
Science,3rd Year,Low,7.4,6.03,13.0,48.7
Science,1st Year,Moderate,5.98,6.62,28.3,43.5
Engineering,4th Year,Moderate,22.16,6.75,53.7,69.1
Engineering,1st Year,High,15.83,6.29,23.4,69.6
Arts,1st Year,High,11.91,6.67,22.9,61.7
Business,2nd Year,High,13.63,6.6,29.4,49.9
Business,2nd Year,Moderate,7.77,6.31,23.1,50.2
Arts,1st Year,Moderate,32.4,6.97,32.9,87.5
Engineering,3rd Year,Low,12.83,6.71,25.0,58.9
Engineering,2nd Year,Low,12.73,7.9,23.6,74.4
Engineering,4th Year,High,16.29,6.6,47.2,58.1
Arts,2nd Year,High,14.77,8.39,24.5,61.7
Science,2nd Year,High,13.32,7.31,21.1,57.5
Science,4th Year,High,8.88,7.46,32.8,51.8
Engineering,1st Year,Moderate,14.71,7.61,0.6,66.4
Arts,4th Year,High,25.86,6.49,52.0,70.4
Science,1st Year,High,20.87,7.84,12.3,78.0
Science,1st Year,High,23.04,7.65,25.9,64.4
Arts,1st Year,Low,9.93,6.94,8.1,50.2
Science,4th Year,Moderate,8.2,7.26,16.2,42.1
Science,1st Year,Low,11.58,8.5,25.2,59.9
Business,3rd Year,High,12.46,6.93,22.7,50.4
Arts,4th Year,Moderate,18.87,6.52,39.2,45.8
Arts,3rd Year,Low,6.19,5.94,22.4,53.4
Science,1st Year,Moderate,22.46,6.5,35.5,83.7
Arts,2nd Year,Moderate,11.44,6.43,23.6,56.6
Science,1st Year,Moderate,10.27,8.07,5.8,66.5
Business,3rd Year,Low,8.13,7.78,27.9,51.9
Arts,3rd Year,Moderate,6.28,6.49,17.2,51.7
Arts,4th Year,Moderate,16.93,6.25,23.0,69.8
Engineering,2nd Year,High,12.55,7.92,20.1,57.0
